4.9423E+01    2.3887E+00    -4.9423E+01   -2.3887E+00   -1.4470E-08   1.4470E-08    2.9625E-08    -2.9625E-08   
4.9394E+01    2.4479E+00    -4.9394E+01   -2.4479E+00   -1.4837E-08   1.4837E-08    2.9607E-08    -2.9607E-08   
4.9364E+01    2.5071E+00    -4.9364E+01   -2.5071E+00   -1.5204E-08   1.5204E-08    2.9588E-08    -2.9588E-08   
4.9333E+01    2.5662E+00    -4.9333E+01   -2.5662E+00   -1.5571E-08   1.5571E-08    2.9569E-08    -2.9569E-08   
4.9301E+01    2.6254E+00    -4.9301E+01   -2.6254E+00   -1.5939E-08   1.5939E-08    2.9550E-08    -2.9550E-08   
4.9269E+01    2.6844E+00    -4.9269E+01   -2.6844E+00   -1.6307E-08   1.6307E-08    2.9530E-08    -2.9530E-08   
4.9236E+01    2.7435E+00    -4.9236E+01   -2.7435E+00   -1.6676E-08   1.6676E-08    2.9510E-08    -2.9510E-08   
4.9203E+01    2.8025E+00    -4.9203E+01   -2.8025E+00   -1.7045E-08   1.7045E-08    2.9489E-08    -2.9489E-08   
4.9168E+01    2.8614E+00    -4.9168E+01   -2.8614E+00   -1.7415E-08   1.7415E-08    2.9468E-08    -2.9468E-08   
4.9133E+01    2.9203E+00    -4.9133E+01   -2.9203E+00   -1.7785E-08   1.7785E-08    2.9446E-08    -2.9446E-08   
4.9097E+01    2.9792E+00    -4.9097E+01   -2.9792E+00   -1.8155E-08   1.8155E-08    2.9424E-08    -2.9424E-08   
4.9060E+01    3.0380E+00    -4.9060E+01   -3.0380E+00   -1.8526E-08   1.8526E-08    2.9401E-08    -2.9401E-08   
4.9023E+01    3.0968E+00    -4.9023E+01   -3.0968E+00   -1.8897E-08   1.8897E-08    2.9378E-08    -2.9378E-08   
4.8985E+01    3.1555E+00    -4.8985E+01   -3.1555E+00   -1.9269E-08   1.9269E-08    2.9354E-08    -2.9354E-08   
4.8946E+01    3.2142E+00    -4.8946E+01   -3.2142E+00   -1.9642E-08   1.9642E-08    2.9330E-08    -2.9330E-08   
4.8906E+01    3.2729E+00    -4.8906E+01   -3.2729E+00   -2.0014E-08   2.0014E-08    2.9305E-08    -2.9305E-08   
4.8866E+01    3.3315E+00    -4.8866E+01   -3.3315E+00   -2.0388E-08   2.0388E-08    2.9280E-08    -2.9280E-08   
4.8825E+01    3.3900E+00    -4.8825E+01   -3.3900E+00   -2.0762E-08   2.0762E-08    2.9254E-08    -2.9254E-08   
4.8783E+01    3.4485E+00    -4.8783E+01   -3.4485E+00   -2.1136E-08   2.1136E-08    2.9228E-08    -2.9228E-08   
4.8740E+01    3.5069E+00    -4.8740E+01   -3.5069E+00   -2.1511E-08   2.1511E-08    2.9201E-08    -2.9201E-08   
4.8697E+01    3.5653E+00    -4.8697E+01   -3.5653E+00   -2.1887E-08   2.1887E-08    2.9174E-08    -2.9174E-08   
4.8652E+01    3.6236E+00    -4.8652E+01   -3.6236E+00   -2.2263E-08   2.2263E-08    2.9146E-08    -2.9146E-08   
